TROPHOSPECIES	ABBREVIATION	PHYLUM_SUBPYLUM	CLASS	ORDER	FAMILY	GROUP
ECHINUS_ESCULENTUS	ECHI_ASC	Echinodermata	Echinoidea	Camarodonta	Echinidae	2_Benthos
GRACILECHINUS_ACUTUS	GRA_ACU	Echinodermata	Echinoidea	Camarodonta	Echinidae	2_Benthos
STRONGYLOCENTROTUS_SP	STRO_SP	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	2_Benthos
STICHOPUS_TREMULUS	STI_TRE	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	2_Benthos
CUCUMARIA_FRONDOSA	CUC_FRO	Echinodermata	Holothuroidea	Dendrochirotidea	Cucumariidae	2_Benthos
MOLPADIA_BOREALIS	MOL_BOR	Echinodermata	Holothuroidea	Molpadida	Molpadiidae	2_Benthos
GORGONOCEPHALUS_SP	GOR_SP	Echinodermata	Ophiuroidea	Euryalida	Gorgonocephalidae	2_Benthos
OPHIACANTHA_BIDENTATA	OPI_BID	Echinodermata	Ophiuroidea	Ophiurida	Ophiacanthidae	2_Benthos
OPHIOPHOLIS_ACULEATA	OPHS_ACU	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	2_Benthos
OPHIOSCOLEX_GLACIALIS	OPH_GLA	Echinodermata	Ophiuroidea	Ophiurida	Ophiomyxidae	2_Benthos
OPHIOCTEN_SERICEUM	OPH_SER	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	2_Benthos
OPHIOPLEURA_BOREALIS	OPH_BOR	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	2_Benthos
OPHIURA_SP	OPH_SP	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	2_Benthos
FORAMINIFERA	FORAM	Foraminifera	NA	NA	NA	2_Benthos
BATHYARCA_GLACIALIS	BAT_GLA	Mollusca	Bivalvia	Arcoida	Arcidae	2_Benthos
ASTARTE_CRENATA	AST_CRE	Mollusca	Bivalvia	Carditoida	Astartidae	2_Benthos
ASTARTE_SP	AST_SP	Mollusca	Bivalvia	Carditoida	Astartidae	2_Benthos
MENDICULA_FERRUGINOSA	MEN_FER	Mollusca	Bivalvia	Lucinoida	Thyasiridae	2_Benthos
THYASIRA_GOULDI	THY_GOU	Mollusca	Bivalvia	Lucinoida	Thyasiridae	2_Benthos
MYTILUS_EDULIS	MYT_EDU	Mollusca	Bivalvia	Mytiloida	Mytilidae	2_Benthos
YOLDIELLA_SOLIDULA	YOL_SOL	Mollusca	Bivalvia	Nuculanoida	Yoldiidae	2_Benthos
CHLAMYS_ISLANDICA	CHL_ISL	Mollusca	Bivalvia	Pectinoida	Pectinidae	2_Benthos
SIMILIPECTEN_GREENLANDICUS	SIM_GRE	Mollusca	Bivalvia	Pectinoida	Propeamussiidae	2_Benthos
SERRIPES_GROENLANDICUS	SER_GRO	Mollusca	Bivalvia	Veneroida	Cardiidae	2_Benthos
MACOMA_SP	MAC_SP	Mollusca	Bivalvia	Veneroida	Tellinidae	2_Benthos
GONATUS_FABRICII	GON_FAB	Mollusca	Cephalopoda	Oegopsida	Gonatidae	2_Benthos
ROSSIA_SP	ROS_SP	Mollusca	Cephalopoda	Sepiolida	Sepiolidae	2_Benthos
BUCCINIDAE_SP	BUC_SP	Mollusca	Gastropoda	Neogastropoda	Buccinoidea	2_Benthos
COLUS_SABINI	COL_SAB	Mollusca	Gastropoda	Neogastropoda	Buccinoidea	2_Benthos
GEODIA_SP	GEO_SP	Porifera	Demospongiae	Astrophorida	Geodiidae	2_Benthos
PORIFERA_G_SP	POR_G_SP	Porifera	NA	NA	NA	2_Benthos
PHASCOLION_STROMBUS	PHA_STRO	Sipunculida	Sipunculidea	Golfingiida	Phascolionidae	2_Benthos
CIONA_INTESTINALIS	CIO_INT	Tunicata	Ascidiacea	Phlebobranchia	Cionidae	2_Benthos
ARCTOZENUS_RISSO	ARC_RIS	Vertebrata	Actinopterygii	Aulopiformes	Paralepididae	3_Fish
CLUPEA_HARENGUS	CLU_HAR	Vertebrata	Actinopterygii	Clupeiformes	Clupeidae	3_Fish
ARCTOGADUS_GLACIALIS	ARC_GLA	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
BOREOGADUS_SAIDA	BOR_SAI	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
GADICULUS_ARGENTEUS	GAD_ARG	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
GADUS_MORHUA	GAD_MOR	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
MELANOGRAMMUS_AEGLEFINUS	MEL_AEG	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
MERLANGIUS_MERLANGUS	MER_MER	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
MICROMESISTIUS_POUTASSOU	MIC_POU	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
POLLACHIUS_POLLACHIUS	POL_POL	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
POLLACHIUS_VIRENS	POL_VIR	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
TRISOPTERUS_ESMARKII	TRIS_ESM	Vertebrata	Actinopterygii	Gadiformes	Gadidae	3_Fish
BROSME_BROSME	BRO_BRO	Vertebrata	Actinopterygii	Gadiformes	Lotidae	3_Fish
ENCHELYOPUS_CIMBRIUS	ENC_CIM	Vertebrata	Actinopterygii	Gadiformes	Lotidae	3_Fish
GAIDROPSARUS_ARGENTATUS	GAI_ARG	Vertebrata	Actinopterygii	Gadiformes	Lotidae	3_Fish
MOLVA_DIPTERYGIA	MOL_DIP	Vertebrata	Actinopterygii	Gadiformes	Lotidae	3_Fish
MOLVA_MOLVA	MOL_MOL	Vertebrata	Actinopterygii	Gadiformes	Lotidae	3_Fish
MACROURUS_BERGLAX	MAC_BER	Vertebrata	Actinopterygii	Gadiformes	Macrouridae	3_Fish
GASTEROSTEUS_ACULEATUS	GAS_ACU	Vertebrata	Actinopterygii	Gasterosteiformes	Gasterosteidae	3_Fish
BENTHOSEMA_GLACIALE	BEN_GLA	Vertebrata	Actinopterygii	Myctophiformes	Myctophidae	3_Fish
FISH_EGG_AND_LARVAE	FIS_EAL	Vertebrata	Actinopterygii	NA	NA	3_Fish
ARGENTINA_SILUS	ARG_SIL	Vertebrata	Actinopterygii	Osmeriformes	Argentinidae	3_Fish
MALLOTUS_VILLOSUS	MAL_VIL	Vertebrata	Actinopterygii	Osmeriformes	Osmeridae	3_Fish
AMMODYTES_MARINUS	AMM_MAR	Vertebrata	Actinopterygii	Perciformes	Ammodytidae	3_Fish
AMMODYTES_SPP	"AM,_SPP"	Vertebrata	Actinopterygii	Perciformes	Ammodytidae	3_Fish
ANARHICHAS_DENTICULATUS	ANA_DEN	Vertebrata	Actinopterygii	Perciformes	Anarhichadidae	3_Fish
ANARHICHAS_LUPUS	ANA_LUP	Vertebrata	Actinopterygii	Perciformes	Anarhichadidae	3_Fish
ANARHICHAS_MINOR	ANA_MIN	Vertebrata	Actinopterygii	Perciformes	Anarhichadidae	3_Fish
SCOMBER_SCOMBRUS	SCO_SCO	Vertebrata	Actinopterygii	Perciformes	Scombridae	3_Fish
ANISARCHUS_MEDIUS	ANI_MED	Vertebrata	Actinopterygii	Perciformes	Stichaeidae	3_Fish
LEPTOCLINUS_MACULATUS	LEP_MAC	Vertebrata	Actinopterygii	Perciformes	Stichaeidae	3_Fish
LUMPENUS_FABRICII	LUM_FAB	Vertebrata	Actinopterygii	Perciformes	Stichaeidae	3_Fish
LUMPENUS_LAMPRETAEFORMIS	LUM_LAM	Vertebrata	Actinopterygii	Perciformes	Stichaeidae	3_Fish
GYMNELUS_SPP	GYM_SPP	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCENCHELYS_KOLTHOFFI	LYC_KOL	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_ESMARKII	LYC_ESM	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_EUDIPLEUROSTICTUS	LYC_EUD	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_FRIGIDUS	LYC_FRI	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_GRACILIS	LYC_GRA	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_PALLIDUS	LYC_PAL	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_RETICULATUS	LYC_RET	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_ROSSI	LYC_ROS	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
LYCODES_SEMINUDUS	LYC_SEM	Vertebrata	Actinopterygii	Perciformes	Zoarcidae	3_Fish
GLYPTOCEPHALUS_CYNOGLOSSUS	GLY_CYN	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
HIPPOGLOSSUS_HIPPOGLOSSUS	HIP_HIP	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
HIPPOGLOSSOIDES_PLATESSOIDES	HIP_PLA	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
LIMANDA_LIMANDA	LIM_LIM	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
MICROSTOMUS_KITT	MIC_KIT	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
PLEURONECTES_PLATESSA	PLE_PLA	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
REINHARDTIUS_HIPPOGLOSSOIDES	REI_HIP	Vertebrata	Actinopterygii	Pleuronectiformes	Pleuronectidae	3_Fish
AGONUS_CATAPHRACTUS	AGO_CAT	Vertebrata	Actinopterygii	Scorpaeniformes	Agonidae	3_Fish
LEPTAGONUS_DECAGONUS	LEP_DEC	Vertebrata	Actinopterygii	Scorpaeniformes	Agonidae	3_Fish
ULCINA_OLRIKII	ULC_OLR	Vertebrata	Actinopterygii	Scorpaeniformes	Agonidae	3_Fish
ARTEDIELLUS_ATLANTICUS	ART_ATL	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
GYMNOCANTHUS_TRICUSPIS	GYM_TRI	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
ICELUS_SPP	ICE_SPP	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
MYOXOCEPHALUS_SCORPIUS	MYO_SCO	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
TRIGLOPS_MURRAYI	TRI_MUR	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
TRIGLOPS_NYBELINI	TRI_NYB	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
TRIGLOPS_PINGELII	TRI_PIN	Vertebrata	Actinopterygii	Scorpaeniformes	Cottidae	3_Fish
CAREPROCTUS_SP	CAR_SP	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
CYCLOPTERUS_LUMPUS	CYC_LUM	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
EUMICROTREMUS_SPINOSUS	EUM_SPI	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
LIPARIS_FABRICII	LIP_FAB	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
LIPARIS_GIBBUS	LIP_GIB	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
LIPARIS_MONTAGUI	LIP_MON	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
PARALIPARIS_BATHYBIUS	PAR_BAT	Vertebrata	Actinopterygii	Scorpaeniformes	Cyclopteridae	3_Fish
COTTUNCULUS_MICROPS	COT_MIC	Vertebrata	Actinopterygii	Scorpaeniformes	Psychrolutidae	3_Fish
SEBASTES_MARINUS	SEB_MAR	Vertebrata	Actinopterygii	Scorpaeniformes	Sebastidae	3_Fish
SEBASTES_MENTELLA	SEB_MEN	Vertebrata	Actinopterygii	Scorpaeniformes	Sebastidae	3_Fish
SEBASTES_SP	SEB_SP	Vertebrata	Actinopterygii	Scorpaeniformes	Sebastidae	3_Fish
SEBASTES_VIVIPARUS	SEB_VIV	Vertebrata	Actinopterygii	Scorpaeniformes	Sebastidae	3_Fish
MAUROLICUS_MUELLERI	MAU_MUL	Vertebrata	Actinopterygii	Stomiiformes	Sternoptychidae	3_Fish
BATHYRAJA_SPINICAUDA	BAT_SPI	Vertebrata	Elasmobranchii	Rajiformes	Arhynchobatidae	3_Fish
AMBLYRAJA_HYPERBOREA	AMB_HYP	Vertebrata	Elasmobranchii	Rajiformes	Rajidae	3_Fish
AMBLYRAJA_RADIATA	AMB_RAD	Vertebrata	Elasmobranchii	Rajiformes	Rajidae	3_Fish
DIPTURUS_BATIS	DIP_BAT	Vertebrata	Elasmobranchii	Rajiformes	Rajidae	3_Fish
RAJELLA_FYLLAE	RAJ_FYL	Vertebrata	Elasmobranchii	Rajiformes	Rajidae	3_Fish
SOMNIOSUS_MICROCEPHALUS	SOM_MIC	Vertebrata	Elasmobranchii	Squaliformes	Dalatiidae	3_Fish
ETMOPTERUS_SPINAX	ETM_SPI	Vertebrata	Elasmobranchii	Squaliformes	Squalidae	3_Fish
SQUALUS_ACANTHIAS	SQU_ACA	Vertebrata	Elasmobranchii	Squaliformes	Squalidae	3_Fish
CHIMAERA_MONSTROSA	CHI_MON	Vertebrata	Holocephali	Chimaeriformes	Chimaeridae	3_Fish
ALLE_ALLE	ALL_ALL	Vertebrata	Aves	Charadriiformes	Alcidae	4_Birds
FRATERCULA_ARCTICA	FRA_ARC	Vertebrata	Aves	Charadriiformes	Alcidae	4_Birds
URIA_AALGE	URI_AAL	Vertebrata	Aves	Charadriiformes	Alcidae	4_Birds
URIA_LOMVIA	URI_LOM	Vertebrata	Aves	Charadriiformes	Alcidae	4_Birds
LARUS_ARGENTATUS	LAR_ARG	Vertebrata	Aves	Charadriiformes	Laridae	4_Birds
LARUS_HYPERBOREUS	LAR_HYP	Vertebrata	Aves	Charadriiformes	Laridae	4_Birds
LARUS_MARINUS	LAR_MAR	Vertebrata	Aves	Charadriiformes	Laridae	4_Birds
RISSA_TRIDACTYLA	RIS_TRI	Vertebrata	Aves	Charadriiformes	Laridae	4_Birds
FULMARUS_GLACIALIS	FUL_GLA	Vertebrata	Aves	Procellariiformes	Procellariidae	4_Birds
ODOBENUS_ROSMARUS	ODO_ROS	Vertebrata	Mammalia	Carnivora	Odobenidae	5_Mammals
CYSTOPHORA_CRISTATA	CYS_CRIS	Vertebrata	Mammalia	Carnivora	Phocidae	5_Mammals
ERIGNATHUS_BARBATUS	ERI_BAR	Vertebrata	Mammalia	Carnivora	Phocidae	5_Mammals
PAGOPHILUS_GROENLANDICUS	PAG_GRO	Vertebrata	Mammalia	Carnivora	Phocidae	5_Mammals
PHOCA_HISPIDA	PHO_HIS	Vertebrata	Mammalia	Carnivora	Phocidae	5_Mammals
URSUS_MARITIMUS	URS_MAR	Vertebrata	Mammalia	Carnivora	Ursidae	5_Mammals
BALAENOPTERA_ACUTOROSTRATA	BAL_ACU	Vertebrata	Mammalia	Cetartiodactyla	Balaenopteridae	5_Mammals
BALAENOPTERA_PHYSALUS	BAL_PHY	Vertebrata	Mammalia	Cetartiodactyla	Balaenopteridae	5_Mammals
MEGAPTERA_NOVAEANGLIAE	MEG_NOV	Vertebrata	Mammalia	Cetartiodactyla	Balaenopteridae	5_Mammals
DELPHINAPTERUS_LEUCAS	DEL_LEU	Vertebrata	Mammalia	Cetartiodactyla	Delphinidae	5_Mammals
